BIGGEST correlations:{'RightHandPinky3': 0.6554503801094671, 'RightHandPinky2b': 0.65520335470914, 'RightHandPinky2': 0.6538405942617416}
ALL correlations:
Hips - 0.3743560227660995
Spine - 0.4089823469781998
RightShoulder - 0.4147408881566009
RightArm - 0.4512162842248448
RightForeArm - 0.4891477538796375
RightHand - 0.6313822009159847
RightHandThumb1 - 0.6240954089661931
RightHandThumb1b - 0.6199809078567842
RightHandThumb2 - 0.6132377712721394
RightHandThumb2b - 0.6079492509551716
RightHandThumb3 - 0.6015752262684477
RightHandIndex1 - 0.6412800432030092
RightHandIndex1b - 0.6384414742783338
RightHandIndex2 - 0.6351304558652117
RightHandIndex2b - 0.6314461936468954
RightHandIndex3 - 0.627630628258797
RightHandMiddle1 - 0.647184423979798
RightHandMiddle1b - 0.6464069898063601
RightHandMiddle2 - 0.642613308236678
RightHandMiddle2b - 0.6399264815065271
RightHandMiddle3 - 0.6351608249736614
RightHandRing1 - 0.6499756858121691
RightHandRing1b - 0.6502483872530873
RightHandRing2 - 0.6465800539981232
RightHandRing2b - 0.647596187644849
RightHandRing3 - 0.6471600169301579
RightHandPinky1 - 0.6499336583676006
RightHandPinky1b - 0.6531537300662043
RightHandPinky2 - 0.6538405942617416
RightHandPinky2b - 0.65520335470914
RightHandPinky3 - 0.6554503801094671
LeftShoulder - 0.4147408881566009
LeftArm - 0.4565280581885337
LeftForeArm - 0.5491350171804252
LeftHand - 0.6116210733768617
LeftHandThumb1 - 0.6092860743752181
LeftHandThumb1b - 0.6048575123532385
LeftHandThumb2 - 0.5994197474755504
LeftHandThumb2b - 0.5955767363956093
LeftHandThumb3 - 0.5914733551947089
LeftHandIndex1 - 0.6197914881519254
LeftHandIndex1b - 0.6177953652128344
LeftHandIndex2 - 0.6152001459169822
LeftHandIndex2b - 0.6116326077077028
LeftHandIndex3 - 0.6077443523801556
LeftHandMiddle1 - 0.6225732504540776
LeftHandMiddle1b - 0.6194401909300785
LeftHandMiddle2 - 0.6156292428368233
LeftHandMiddle2b - 0.6118196698223484
LeftHandMiddle3 - 0.6074631679611155
LeftHandRing1 - 0.6244516916359871
LeftHandRing1b - 0.6219887907585293
LeftHandRing2 - 0.6185842789453883
LeftHandRing2b - 0.6157876642574637
LeftHandRing3 - 0.6123536547804314
LeftHandPinky1 - 0.6248809684078301
LeftHandPinky1b - 0.6229874009938401
LeftHandPinky2 - 0.6204781869653406
LeftHandPinky2b - 0.6186917504208416
LeftHandPinky3 - 0.6164612652765871
Head - 0.35782102617204753
